"lat","lon","count","text"
55.950884,-2.78181,1,"High Street"
52.8430009914735,0.160588945519252,1,"Hampstead"
55.9226552930461,-4.37677648851719,1,"Hampstead"
,,1,"Hampstead"
23,-99.9999999,1,"Hampstead"
57.6650189311244,-2.52425877148585,1,"Hampstead"
55.9479776123269,-2.72623899396833,1,"Hampstead"
,,1,"Chelsea"
51.4774892302747,-0.45886823684852,1,"Hampstead"
,,1,"Hampstead"
,,1,"Hampstead"
29.5,47.75,1,"Hampstead"
,,1,"Hampstead Heath"
,,1,"Hampstead"
57.4189644125928,-1.8251681089812,1,"Hampstead"
,,1,"Hampstead"
56.021643641111,-3.91089440667854,1,"Hampstead"
56.0006846031049,-3.38714330130171,1,"Hampstead Heath"
55.9534675,-3.1826565,1,"Hampstead"
55.4152749878219,-3.4929506199446,1,"Hampstead Heath"
55.6514430092996,-2.24947754784725,1,"Hampstead"
,,1,"England"
51.2081538484888,-1.90694136928365,1,"Maisie"
55.932505,-3.656444,1,"Maisie"
56.0484247461118,-3.52658958178254,1,"Maisie"
,,1,"Maisie"
40.8333333,14.25,1,"Maisie"
,,1,"Maisie"
,,1,"Bricket Wood"
,,1,"Maisie"
